Design,Algorithm,pk+sig (KB),Max Freq (MHz),LUT,FF,DSP,BRAM,Keygen cycles,Verify μs,Sign μs,Family
Artix-7,SPHINCS+-128s-simple,8.1,250 & 500,48231,72514,0,11.5,,0.07,12.4,
Artix-7,SPHINCS+-128s-robust,8.1,250 & 500,49146,73069,0,15.5,,0.11,21.1,
Artix-7,SPHINCS+-128f-simple,17,250 & 500,47991,72505,1,11.5,,0.16,1.01,
Artix-7,SPHINCS+-128f-robust,17,250 & 500,48930,73002,1,15.5,,0.23,1.64,
Artix-7,SPHINCS+-192s-simple,17.1,250 & 500,48725,72514,0,17,,0.1,21.4,
Artix-7,SPHINCS+-192s-robust,17.1,250 & 500,50064,74462,0,22.5,,0.15,38.3,
Artix-7,SPHINCS+-192f-simple,35.7,250 & 500,48398,73476,1,17,,0.19,1.17,
Artix-7,SPHINCS+-192f-robust,35.7,250 & 500,47227,74279,1,22.5,,0.31,2.12,
Artix-7,SPHINCS+-256s-simple,29.8,250 & 500,51130,74576,0,22.5,,0.14,19.3,
Artix-7,SPHINCS+-256s-robust,29.8,250 & 500,50070,75738,1,30,,0.2,36.1,
Artix-7,SPHINCS+-256f-simple,49.2,250 & 500,51009,74539,1,22.5,,0.21,2.52,
Artix-7,SPHINCS+-256f-robust,49.2,250 & 500,50341,75664,1,30,,0.34,4.68,
Kintex-7,SPHINCS-256,41,525,19067,38132,3,36,,0.07,1.53,
Cyclone V,XMSS-2^16 SHA-256,2.7,93.1,6500,9540,0,145,,5.8,9.95,
Kintex-7,Picnic-L1-FS,34,125,90037,23105,0,52.5,,0.24,0.25,
Kintex-7,Picnic-L5-FS,133,125,167530,33164,0,98.5,,1.17,1.24,
Artix-7,qTESLA-p-I,2.6,121,Inconclusive,ca. 2440 slices,-,-,,7.8,34.4,
Artix-7,qTESLA-p-III,5.7,121,Inconclusive,ca. 2470 slices,-,-,,19.1,63.9,
TW,FALCON-512,1.5,142,14500,7287,4,2,-,16.8,-,A7
[13],SPHINCS+-128s-simple,7.9,250 & 500^3,48231,72514,0,11.5,-,70,12400,A7
[13],SPHINCS+-128s-robust,7.9,250 & 500^3,49146,73069,0,15.5,-,160,21100,A7
[13],SPHINCS+-128f-simple,17.1,250 & 500^3,47991,72505,1,11.5,-,120,1010,A7
[13],SPHINCS+-128f-robust,17.1,250 & 500^3,48930,73002,1,15.5,-,230,1640,A7
[12],Picnic-L1-FS,34,125,90535,23516,0,52.5,-,29269,2737,K7
TW,Dilithium-II,3.2,314,14327,7314,-,-,12600,10546,18338,VUS+
[16],Dilithium-II,3.7,96.9,53187,28318,16,29,4875,6582,10945,A7
[6],Dilithium-II,3.7,163,27433,10681,45,45,18761,19687,20597,A7
TW,Dilithium-II,3.7,200,53907,53207,-,15,4875,11612,10945,VUS+
[5],Dilithium-III,4.2,250/333/158,54183/68146/61738,25236/86295/34368,182/965/316,15/145/18,18193,15032,21033,VUS+
[7],Dilithium-II,3.7,200,19100,9300,4,24,14183,15044,30358,ZUS+
TW,Dilithium-III,5.2,116,53187,28318,16,29,8291,9724,16178,A7
[16],Dilithium-III,5.2,96.9,29998,10366,10,11,5851,6181,11399,A7
[13],SPHINCS+-192s-simple,16.3,250 & 500^3,48725,72514,0,17,-,100,21000,A7
[13],SPHINCS+-192s-robust,16.3,250 & 500^3,50064,74462,0,22.5,-,200,3500,A7
[13],SPHINCS+-192f-simple,35.7,250 & 500^3,48398,73476,1,17,-,320,15300,A7
[6],Dilithium-III,3.7,145,30900,11372,45,45,33002,32050,45068,VUS+
[13],SPHINCS+-192f-robust,35.7,250 & 500^3,47277,74279,1,22.5,-,310,21200,A7
[13],Dilithium-II,5.1,200,53907,53207,-,29,8291,9724,16178,VUS+
TW,Dilithium-III,5.2,200,19100,9300,4,24,22957,25535,47418,ZUS+
[7],Dilithium-IV,5.2,200,19100,9300,4,24,22981,22532,22362,VUS+
[5],Dilithium-IV,5.2,200,19100,9300,4,24,22981,22532,22362,VUS+
TW,FALCON-1024,3.1,142,13956,6737,4,11,-,32.8,-,A7
[16],Dilithium-V,7.2,200,53187,28318,16,29,14037,14642,24358,A7
[13],SPHINCS+-256s-simple,29.8,250 & 500^3,51130,74576,0,22.5,-,100,19300,A7
[13],SPHINCS+-256s-robust,29.8,250 & 500^3,50000,75738,0,30,-,200,36100,A7
[13],SPHINCS+-256f-simple,49.9,250 & 500^3,51009,74539,1,22.5,-,320,30000,A7
[13],SPHINCS+-256f-robust,49.9,250 & 500^3,50341,75664,1,30,-,310,4680,A7
TW,Dilithium-IV,7.2,200,54468,28435,16,29,14037,14642,24358,K7
[7],Dilithium-V,7.2,200,19100,9300,4,24,22981,45789,68500,ZUS+
