Algorithm_sw,Algorithm_key,sw_latency_s,CT_bytes,KEYSIZE_bytes,security_proxy,Algorithm_hw,LUT,BRAM,DSP,MaxFreq_MHz,hw_latency_s,resource_penalty
AES-256,aes256,1.83e-05,800.0,800.0,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,0.0001345,2700.0,2700.0,2700.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,0.0001345,2700.0,2700.0,2700.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,0.0001345,2700.0,2700.0,2700.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,0.0001345,2700.0,2700.0,2700.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,0.0001345,2700.0,2700.0,2700.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,0.0001345,2700.0,2700.0,2700.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,0.0001345,2700.0,2700.0,2700.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,0.0001345,2700.0,2700.0,2700.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,6e-07,128.0,128.0,128.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,6e-07,128.0,128.0,128.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dilithium3,dilithium3,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,dilithiumii,0.0,0.0,0.0,0.0,Dilithium-II,14327.0,28.561594202898554,15.810606060606062,314.0,4.012738853503185e-05,1.4327
0,dilithiumii,0.0,0.0,0.0,0.0,Dilithium-II,53187.0,29.0,16.0,96.9,5.0309597523219816e-05,5.4797
0,dilithiumii,0.0,0.0,0.0,0.0,Dilithium-II,27433.0,45.0,45.0,163.0,0.00011509815950920245,3.0133
0,dilithiumii,0.0,0.0,0.0,0.0,Dilithium-II,53907.0,15.0,15.810606060606062,200.0,2.4375e-05,5.4657
0,dilithiumii,0.0,0.0,0.0,0.0,Dilithium-II,19100.0,24.0,4.0,200.0,7.0915e-05,2.034
0,dilithiumii,0.0,0.0,0.0,0.0,Dilithium-II,53907.0,29.0,15.810606060606062,200.0,4.1455e-05,5.5357
0,dilithiumiii,0.0,0.0,0.0,0.0,Dilithium-III,61355.666666666664,59.333333333333336,487.6666666666667,247.0,7.365587044534412e-05,6.9199
0,dilithiumiii,0.0,0.0,0.0,0.0,Dilithium-III,53187.0,29.0,16.0,116.0,7.147413793103449e-05,5.4797
0,dilithiumiii,0.0,0.0,0.0,0.0,Dilithium-III,29998.0,11.0,10.0,96.9,6.038183694530444e-05,3.0648
0,dilithiumiii,0.0,0.0,0.0,0.0,Dilithium-III,30900.0,45.0,45.0,145.0,0.0002276,3.36
0,dilithiumiii,0.0,0.0,0.0,0.0,Dilithium-III,19100.0,24.0,4.0,200.0,0.000114785,2.034
0,dilithiumiv,0.0,0.0,0.0,0.0,Dilithium-IV,19100.0,24.0,4.0,200.0,0.000114905,2.034
0,dilithiumiv,0.0,0.0,0.0,0.0,Dilithium-IV,19100.0,24.0,4.0,200.0,0.000114905,2.034
0,dilithiumiv,0.0,0.0,0.0,0.0,Dilithium-IV,54468.0,29.0,16.0,200.0,7.0185e-05,5.6078
0,dilithiumv,0.0,0.0,0.0,0.0,Dilithium-V,53187.0,29.0,16.0,200.0,7.0185e-05,5.4797
0,dilithiumv,0.0,0.0,0.0,0.0,Dilithium-V,19100.0,24.0,4.0,200.0,0.000114905,2.034
0,falcon1024,0.0,0.0,0.0,0.0,FALCON-1024,13956.0,11.0,4.0,142.0,3.28e-05,1.4546
