Design,Algorithm,pk+sig (KB),Max Freq (MHz),LUT,FF,DSP,BRAM,Keygen cycles,Verify μs,Sign μs,Family,Design_num,Algorithm_num,Max Freq (MHz)_num,LUT_num,FF_num,DSP_num,BRAM_num,Keygen cycles_num,Sign μs_num,Family_num,Algorithm_key,MaxFreq_MHz,SIGN_us_hw,VERIFY_us_hw,KEYGEN_cycles_hw,PKSIG_KB,hw_latency_s,resource_penalty
Artix-7,SPHINCS+-128s-simple,8.1,250 & 500,48231.0,72514,0.0,11.5,,0.07,12.4,,-7.0,,375.0,48231.0,72514.0,0.0,11.5,,12.4,,sphincs128ssimple,375.0,-7.0,0.07,,8.1,-6.93e-06,4.8806
Artix-7,SPHINCS+-128s-robust,8.1,250 & 500,49146.0,73069,0.0,15.5,,0.11,21.1,,-7.0,,375.0,49146.0,73069.0,0.0,15.5,,21.1,,sphincs128srobust,375.0,-7.0,0.11,,8.1,-6.89e-06,4.9921
Artix-7,SPHINCS+-128f-simple,17.0,250 & 500,47991.0,72505,1.0,11.5,,0.16,1.01,,-7.0,,375.0,47991.0,72505.0,1.0,11.5,,1.01,,sphincs128fsimple,375.0,-7.0,0.16,,17.0,-6.84e-06,4.8576
Artix-7,SPHINCS+-128f-robust,17.0,250 & 500,48930.0,73002,1.0,15.5,,0.23,1.64,,-7.0,,375.0,48930.0,73002.0,1.0,15.5,,1.64,,sphincs128frobust,375.0,-7.0,0.23,,17.0,-6.7699999999999996e-06,4.9715
Artix-7,SPHINCS+-192s-simple,17.1,250 & 500,48725.0,72514,0.0,17.0,,0.1,21.4,,-7.0,,375.0,48725.0,72514.0,0.0,17.0,,21.4,,sphincs192ssimple,375.0,-7.0,0.1,,17.1,-6.9e-06,4.9575
Artix-7,SPHINCS+-192s-robust,17.1,250 & 500,50064.0,74462,0.0,22.5,,0.15,38.3,,-7.0,,375.0,50064.0,74462.0,0.0,22.5,,38.3,,sphincs192srobust,375.0,-7.0,0.15,,17.1,-6.85e-06,5.1189
Artix-7,SPHINCS+-192f-simple,35.7,250 & 500,48398.0,73476,1.0,17.0,,0.19,1.17,,-7.0,,375.0,48398.0,73476.0,1.0,17.0,,1.17,,sphincs192fsimple,375.0,-7.0,0.19,,35.7,-6.81e-06,4.9258
Artix-7,SPHINCS+-192f-robust,35.7,250 & 500,47227.0,74279,1.0,22.5,,0.31,2.12,,-7.0,,375.0,47227.0,74279.0,1.0,22.5,,2.12,,sphincs192frobust,375.0,-7.0,0.31,,35.7,-6.69e-06,4.8362
Artix-7,SPHINCS+-256s-simple,29.8,250 & 500,51130.0,74576,0.0,22.5,,0.14,19.3,,-7.0,,375.0,51130.0,74576.0,0.0,22.5,,19.3,,sphincs256ssimple,375.0,-7.0,0.14,,29.8,-6.86e-06,5.2255
Artix-7,SPHINCS+-256s-robust,29.8,250 & 500,50070.0,75738,1.0,30.0,,0.2,36.1,,-7.0,,375.0,50070.0,75738.0,1.0,30.0,,36.1,,sphincs256srobust,375.0,-7.0,0.2,,29.8,-6.8e-06,5.158
Artix-7,SPHINCS+-256f-simple,49.2,250 & 500,51009.0,74539,1.0,22.5,,0.21,2.52,,-7.0,,375.0,51009.0,74539.0,1.0,22.5,,2.52,,sphincs256fsimple,375.0,-7.0,0.21,,49.2,-6.79e-06,5.2144
Artix-7,SPHINCS+-256f-robust,49.2,250 & 500,50341.0,75664,1.0,30.0,,0.34,4.68,,-7.0,,375.0,50341.0,75664.0,1.0,30.0,,4.68,,sphincs256frobust,375.0,-7.0,0.34,,49.2,-6.66e-06,5.1851
Kintex-7,SPHINCS-256,41.0,525,19067.0,38132,3.0,36.0,,0.07,1.53,,,-256.0,525.0,19067.0,38132.0,3.0,36.0,,1.53,,sphincs256,525.0,,0.07,,41.0,7e-08,2.0897
