iter	Passed	Remaining
0	1	1264
1	1	839
2	2	683
3	2	652
4	3	721
5	4	693
6	4	662
7	5	641
8	5	638
9	6	613
10	6	582
11	7	589
12	7	582
13	8	586
14	8	571
15	9	583
16	9	577
17	10	564
18	11	580
19	11	574
20	12	564
21	12	574
22	13	576
23	13	566
24	14	574
25	15	585
26	16	587
27	17	599
28	17	595
29	18	596
30	19	598
31	19	599
32	20	607
33	21	603
34	21	599
35	22	595
36	22	595
37	23	605
38	24	605
39	26	631
40	27	633
41	27	633
42	28	632
43	29	632
44	30	640
45	30	637
46	31	635
47	32	640
48	33	641
49	33	643
50	34	637
51	34	634
52	35	635
53	36	636
54	36	635
55	37	636
56	38	632
57	40	655
58	41	655
59	42	661
60	42	657
61	44	671
62	45	674
63	46	673
64	46	671
65	47	675
66	48	672
67	48	670
68	49	667
69	49	663
70	50	665
71	51	660
72	51	658
73	52	658
74	53	657
75	53	654
76	54	648
77	54	647
78	55	647
79	56	645
80	56	643
81	57	642
82	58	641
83	59	648
84	59	645
85	60	645
86	61	644
87	62	643
88	62	643
89	63	639
90	63	638
91	64	640
92	65	642
93	66	643
94	67	643
95	68	647
96	69	645
97	69	642
98	70	642
99	71	641
100	71	639
101	72	641
102	73	642
103	74	642
104	75	640
105	75	639
106	76	637
107	76	635
108	77	634
109	77	630
110	78	629
111	79	629
112	79	627
113	80	626
114	81	626
115	82	625
116	82	625
117	83	624
118	84	623
119	84	622
120	85	622
121	86	620
122	86	618
123	87	616
124	88	617
125	89	618
126	89	617
127	90	615
128	90	612
129	91	611
130	92	611
131	93	611
132	93	609
133	94	608
134	94	608
135	95	605
136	96	604
137	96	602
138	97	602
139	97	601
140	98	600
141	98	598
142	99	598
143	100	596
144	101	596
145	102	597
146	103	597
147	103	598
148	104	598
149	105	597
150	106	597
151	106	596
152	107	596
153	108	596
154	109	595
155	109	594
156	110	594
157	111	594
158	112	593
159	113	593
160	113	592
161	114	592
162	115	592
163	116	593
164	117	592
165	117	592
166	118	591
167	119	589
168	119	589
169	120	588
170	121	588
171	121	587
172	122	586
173	123	585
174	124	585
175	124	584
176	125	584
177	126	583
178	127	583
179	127	583
180	128	581
181	129	580
182	130	580
183	130	580
184	131	579
185	132	578
186	132	576
187	133	576
188	134	576
189	135	576
190	135	575
191	136	575
192	137	575
193	138	574
194	139	574
195	139	573
196	140	573
197	141	572
198	142	572
199	142	571
200	143	569
201	144	569
202	145	569
203	146	569
204	146	568
205	146	566
206	147	566
207	148	566
208	149	566
209	150	566
210	151	565
211	152	565
212	153	565
213	153	565
214	154	564
215	155	564
216	156	564
217	157	563
218	157	562
219	158	563
220	159	563
221	160	562
222	161	561
223	162	561
224	162	560
225	163	560
226	164	559
227	164	558
228	165	557
229	166	556
230	167	556
231	167	555
232	168	554
233	169	554
234	170	554
235	170	553
236	171	552
237	172	551
238	173	551
239	174	551
240	174	550
241	175	550
242	176	550
243	177	550
244	178	549
245	179	548
246	179	548
247	180	547
248	181	546
249	182	546
250	182	545
251	183	545
252	184	543
253	184	542
254	185	541
255	186	540
256	187	540
257	187	540
258	189	540
259	189	539
260	190	540
261	191	538
262	192	538
263	193	538
264	194	538
265	194	537
266	195	537
267	196	537
268	197	537
269	198	536
270	199	536
271	199	534
272	200	533
273	201	533
274	202	533
275	203	532
276	203	531
277	204	530
278	205	530
279	206	530
280	206	529
281	207	528
282	208	528
283	209	528
284	210	528
285	211	527
286	212	527
287	213	527
288	214	526
289	214	526
290	215	525
291	216	525
292	217	524
293	218	524
294	219	523
295	219	522
296	220	522
297	221	521
298	222	520
299	223	520
