From Bank,To Bank,Enterprise,Infra,Budget,Legacy,Deployment,Sender Algo,Receiver Algo,HW_Base,HW_Budget,HW_Infra
ICICI,ICICI,big,new,High,Present,Same server,PQC,PQC,High-performance FPGA/ASIC,Enterprise HSM + FPGA,Supports advanced distributed crypto infra
ICICI,ICICI,big,new,High,Absent,Same server,PQC,PQC,High-performance FPGA/ASIC,Enterprise HSM + FPGA,Supports advanced distributed crypto infra
ICICI,ICICI,big,new,Medium,Present,Same server,PQC,PQC,High-performance FPGA/ASIC,Shared FPGA + CPU cluster,Supports advanced distributed crypto infra
ICICI,ICICI,big,new,Medium,Absent,Same server,PQC,PQC,High-performance FPGA/ASIC,Shared FPGA + CPU cluster,Supports advanced distributed crypto infra
ICICI,ICICI,big,new,Low,Present,Same server,PQC,PQC,High-performance FPGA/ASIC,Low-cost CPU only,Supports advanced distributed crypto infra
ICICI,ICICI,big,new,Low,Absent,Same server,PQC,PQC,High-performance FPGA/ASIC,Low-cost CPU only,Supports advanced distributed crypto infra
ICICI,HDFC,big,new,High,Present,Different servers,PQC,Hybrid (downgraded),High-performance FPGA/ASIC,Enterprise HSM + FPGA,Supports advanced distributed crypto infra
ICICI,HDFC,big,new,High,Absent,Different servers,PQC,Hybrid (downgraded),High-performance FPGA/ASIC,Enterprise HSM + FPGA,Supports advanced distributed crypto infra
ICICI,HDFC,big,new,Medium,Present,Different servers,PQC,Hybrid (downgraded),High-performance FPGA/ASIC,Shared FPGA + CPU cluster,Supports advanced distributed crypto infra
ICICI,HDFC,big,new,Medium,Absent,Different servers,PQC,Hybrid (downgraded),High-performance FPGA/ASIC,Shared FPGA + CPU cluster,Supports advanced distributed crypto infra
ICICI,HDFC,big,new,Low,Present,Different servers,PQC,Hybrid (downgraded),High-performance FPGA/ASIC,Low-cost CPU only,Supports advanced distributed crypto infra
ICICI,HDFC,big,new,Low,Absent,Different servers,PQC,Hybrid (downgraded),High-performance FPGA/ASIC,Low-cost CPU only,Supports advanced distributed crypto infra
ICICI,SBI,big,new,High,Present,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Enterprise HSM + FPGA,Supports advanced distributed crypto infra
ICICI,SBI,big,new,High,Absent,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Enterprise HSM + FPGA,Supports advanced distributed crypto infra
ICICI,SBI,big,new,Medium,Present,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Shared FPGA + CPU cluster,Supports advanced distributed crypto infra
ICICI,SBI,big,new,Medium,Absent,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Shared FPGA + CPU cluster,Supports advanced distributed crypto infra
ICICI,SBI,big,new,Low,Present,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Low-cost CPU only,Supports advanced distributed crypto infra
ICICI,SBI,big,new,Low,Absent,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Low-cost CPU only,Supports advanced distributed crypto infra
ICICI,Saraswat,big,new,High,Present,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Enterprise HSM + FPGA,Supports advanced distributed crypto infra
ICICI,Saraswat,big,new,High,Absent,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Enterprise HSM + FPGA,Supports advanced distributed crypto infra
ICICI,Saraswat,big,new,Medium,Present,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Shared FPGA + CPU cluster,Supports advanced distributed crypto infra
ICICI,Saraswat,big,new,Medium,Absent,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Shared FPGA + CPU cluster,Supports advanced distributed crypto infra
ICICI,Saraswat,big,new,Low,Present,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Low-cost CPU only,Supports advanced distributed crypto infra
ICICI,Saraswat,big,new,Low,Absent,Different servers,PQC,Classical (downgraded),High-performance FPGA/ASIC,Low-cost CPU only,Supports advanced distributed crypto infra
HDFC,ICICI,big,mid,High,Present,Different servers,Hybrid,PQC (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Supports moderate hybrid infra
HDFC,ICICI,big,mid,High,Absent,Different servers,Hybrid,PQC (upgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Supports moderate hybrid infra
HDFC,ICICI,big,mid,Medium,Present,Different servers,Hybrid,PQC (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Supports moderate hybrid infra
HDFC,ICICI,big,mid,Medium,Absent,Different servers,Hybrid,PQC (upgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Supports moderate hybrid infra
HDFC,ICICI,big,mid,Low,Present,Different servers,Hybrid,PQC (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Supports moderate hybrid infra
HDFC,ICICI,big,mid,Low,Absent,Different servers,Hybrid,PQC (upgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Supports moderate hybrid infra
HDFC,HDFC,big,mid,High,Present,Same server,Hybrid,Hybrid,Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Supports moderate hybrid infra
HDFC,HDFC,big,mid,High,Absent,Same server,Hybrid,Hybrid,Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Supports moderate hybrid infra
HDFC,HDFC,big,mid,Medium,Present,Same server,Hybrid,Hybrid,Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Supports moderate hybrid infra
HDFC,HDFC,big,mid,Medium,Absent,Same server,Hybrid,Hybrid,Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Supports moderate hybrid infra
HDFC,HDFC,big,mid,Low,Present,Same server,Hybrid,Hybrid,Mid-tier FPGA + CPU combo,Low-cost CPU only,Supports moderate hybrid infra
HDFC,HDFC,big,mid,Low,Absent,Same server,Hybrid,Hybrid,Mid-tier FPGA + CPU combo,Low-cost CPU only,Supports moderate hybrid infra
HDFC,SBI,big,mid,High,Present,Different servers,Hybrid,Classical (downgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Supports moderate hybrid infra
HDFC,SBI,big,mid,High,Absent,Different servers,Hybrid,Classical (downgraded),Mid-tier FPGA + CPU combo,Enterprise HSM + FPGA,Supports moderate hybrid infra
HDFC,SBI,big,mid,Medium,Present,Different servers,Hybrid,Classical (downgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Supports moderate hybrid infra
HDFC,SBI,big,mid,Medium,Absent,Different servers,Hybrid,Classical (downgraded),Mid-tier FPGA + CPU combo,Shared FPGA + CPU cluster,Supports moderate hybrid infra
HDFC,SBI,big,mid,Low,Present,Different servers,Hybrid,Classical (downgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Supports moderate hybrid infra
HDFC,SBI,big,mid,Low,Absent,Different servers,Hybrid,Classical (downgraded),Mid-tier FPGA + CPU combo,Low-cost CPU only,Supports moderate hybrid infra
